MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,status,stat_point,Station_Name,approx_distance_miles
Decatur House Museum,748 JACKSON PLACE NW,38.90002633,-77.03819661,293257,active,POINT(-77.038322 38.902061),17th & K St NW / Farragut Square,0.14077401235765943
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,active,POINT(-77.027869 38.898364),Metro Center / 12th & G St NW,0.16605695707506546
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,active,POINT(-77.02324 38.894851),8th & D St NW,0.18230256549527227
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,active,POINT(-77.026975 38.897857),11th & F St NW,0.10848898640675624
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,0.11714686279003017
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,active,POINT(-77.026064 38.895914),10th & E St NW,0.04841561363159564
Freer Gallery of Art,,38.888268,-77.027348,294417,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,0.07470680741687642
Freer Gallery of Art,,38.888268,-77.027348,294417,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,0.10790490280230403
Freer Gallery of Art,,38.888268,-77.027348,294417,active,POINT(-77.0282417535782 38.8862769450651),USDA / 12th & C St SW,0.14575563496574667
Gallaudet University Museum,800 FLORIDA AVENUE NE,38.90577601,-76.99492972,288964,active,POINT(-76.9941 38.90509),Gallaudet / 8th St & Florida Ave NE,0.06510511070148443
German-American Heritage Museum,719 6TH STREET NW,38.89910316,-77.0195865,238949,active,POINT(-77.018677 38.90093),5th St & Massachusetts Ave NW,0.1353946346351128
German-American Heritage Museum,719 6TH STREET NW,38.89910316,-77.0195865,238949,active,POINT(-77.019347 38.897222),5th & F St NW,0.130640203799722
Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,38.90802275,-77.04460391,241060,active,POINT(-77.04478 38.908905),20th & O St NW / Dupont South,0.06170169899798156
Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,38.90802275,-77.04460391,241060,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,0.1439732097945434
Hirshhorn Museum and Sculpture Garden,,38.888407,-77.022961,294428,active,POINT(-77.022241 38.886266),L'Enfant Plaza / 7th & C St SW,0.15294581512358082
Hirshhorn Museum and Sculpture Garden,,38.888407,-77.022961,294428,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,0.16860752468036244
Historical Society of Washington DC,801 K STREET NW,38.90262211,-77.02294275,238956,active,POINT(-77.021392 38.902674),7th & K St NW,0.08347791559106492
Historical Society of Washington DC,801 K STREET NW,38.90262211,-77.02294275,238956,active,POINT(-77.02622 38.9024),10th & K St NW,0.17692118182036767
House of the Temple,1733 16TH STREET NW,38.91369256,-77.03582659,242883,active,POINT(-77.036278 38.912652),16th & R St NW,0.07589754091215266
House of the Temple,1733 16TH STREET NW,38.91369256,-77.03582659,242883,active,POINT(-77.03818 38.91554),New Hampshire Ave & T St NW,0.17976288873774418
Howard University Gallery of Art,2455 6TH STREET NW,38.92452904,-77.02098138,188381,active,POINT(-77.0222 38.9249),Georgia Ave and Fairmont St NW,0.07035523563237088
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,active,POINT(-77.045128 38.894722),20th St & Virginia Ave NW,0.13729662468773182
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,active,POINT(-77.045 38.8963),20th & E St NW,0.18189904921311853
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,active,POINT(-77.0436 38.8923),19th St & Constitution Ave NW,0.15771370077096725
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,active,POINT(-77.0436 38.8952),19th & E Street NW,0.07490752390696834
Interior Museum,1849 C STREET NW,38.89444538,-77.04260027,293214,active,POINT(-77.041544 38.893511),18th & C St NW,0.08600909504385003
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,active,POINT(-77.02324 38.894851),8th & D St NW,0.14708327808397714
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,0.181204504251964
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,active,POINT(-77.026064 38.895914),10th & E St NW,0.166662987767019
International Spy Museum,800 F STREET NW,38.89697903,-77.02328389,238378,active,POINT(-77.0221906900406 38.8972830485385),7th & F St NW / National Portrait Gallery,0.062438966654325405
L. Ron Hubbard House,1812 19TH STREET NW,38.91458854,-77.04373354,240991,active,POINT(-77.041834 38.912648),18th & R St NW,0.16857642810051754
L. Ron Hubbard House,1812 19TH STREET NW,38.91458854,-77.04373354,240991,active,POINT(-77.0446 38.9154),20th St & Florida Ave NW,0.07290761995868845
