,station_id,num_bikes_available,num_docks_available,num_ebikes_available,num_bikes_disabled,num_docks_disabled,last_reported,is_renting,is_returning,last_updated_date
250,264,6,9,1,0,0,1596099343,1,1,2020-07-30 08:29:15
251,265,0,11,0,0,0,1596099344,1,1,2020-07-30 08:29:15
252,266,4,2,0,3,0,1596099344,1,1,2020-07-30 08:29:15
253,267,3,12,0,0,0,1596099344,1,1,2020-07-30 08:29:15
254,268,12,7,0,0,0,1596109642,1,1,2020-07-30 08:29:15
255,269,8,7,1,0,0,1596114626,1,1,2020-07-30 08:29:15
256,270,1,10,1,0,0,1596112683,1,1,2020-07-30 08:29:15
257,271,0,19,0,0,0,1596090577,1,1,2020-07-30 08:29:15
258,272,9,5,0,1,0,1596115504,1,1,2020-07-30 08:29:15
259,273,9,10,0,0,0,1596115163,1,1,2020-07-30 08:29:15
260,274,14,5,0,0,0,1596115394,1,1,2020-07-30 08:29:15
261,275,9,6,0,0,0,1596112199,1,1,2020-07-30 08:29:15
262,277,8,7,0,0,0,1596099344,1,1,2020-07-30 08:29:15
263,278,3,12,1,0,0,1596099344,1,1,2020-07-30 08:29:15
264,279,9,6,1,0,0,1596099344,1,1,2020-07-30 08:29:15
265,280,4,11,0,0,0,1596109471,1,1,2020-07-30 08:29:15
266,282,0,15,0,0,0,1596099344,1,1,2020-07-30 08:29:15
267,283,9,6,0,0,0,1596113196,1,1,2020-07-30 08:29:15
268,284,4,16,0,1,0,1596099344,1,1,2020-07-30 08:29:15
269,285,1,10,0,0,0,1596099344,1,1,2020-07-30 08:29:15
270,286,2,13,1,0,0,1596110924,1,1,2020-07-30 08:29:15
271,287,0,15,0,0,0,1596114678,1,1,2020-07-30 08:29:15
272,288,2,13,2,0,0,1596114022,1,1,2020-07-30 08:29:15
273,289,0,11,0,0,0,1596110935,1,1,2020-07-30 08:29:15
274,290,3,8,2,0,0,1596115459,1,1,2020-07-30 08:29:15
275,293,12,1,0,2,0,1596115336,1,1,2020-07-30 08:29:15
276,294,3,16,0,0,0,1596099344,1,1,2020-07-30 08:29:15
277,295,6,9,0,0,0,1596099342,1,1,2020-07-30 08:29:15
278,296,1,10,0,0,0,1596099345,1,1,2020-07-30 08:29:15
279,297,5,9,1,1,0,1596114333,1,1,2020-07-30 08:29:15
280,298,10,8,0,0,0,1596099345,1,1,2020-07-30 08:29:15
281,299,4,11,0,0,0,1596103900,1,1,2020-07-30 08:29:15
282,301,4,15,0,0,0,1596115525,1,1,2020-07-30 08:29:15
283,302,3,15,1,1,0,1596115740,1,1,2020-07-30 08:29:15
284,303,11,0,0,0,0,1596099346,1,1,2020-07-30 08:29:15
285,304,15,0,0,0,0,1596099345,1,1,2020-07-30 08:29:15
286,305,11,6,1,0,0,1596114654,1,1,2020-07-30 08:29:15
287,306,0,11,0,0,0,1596113148,1,1,2020-07-30 08:29:15
288,307,15,1,0,0,0,1596114266,1,1,2020-07-30 08:29:15
289,308,5,14,1,0,0,1596114404,1,1,2020-07-30 08:29:15
290,309,2,17,2,0,0,1596115618,1,1,2020-07-30 08:29:15
291,310,15,4,0,0,0,1596115613,1,1,2020-07-30 08:29:15
292,311,5,6,0,0,0,1596099347,1,1,2020-07-30 08:29:15
293,312,1,14,0,0,0,1596102220,1,1,2020-07-30 08:29:15
294,313,2,13,0,0,0,1596115177,1,1,2020-07-30 08:29:15
295,314,0,15,0,0,0,1596108622,1,1,2020-07-30 08:29:15
296,315,1,14,0,0,0,1596099346,1,1,2020-07-30 08:29:15
297,316,11,8,0,0,0,1596113049,1,1,2020-07-30 08:29:15
298,317,2,8,0,0,1,1596113708,1,1,2020-07-30 08:29:15
299,318,1,12,0,0,0,1596099346,1,1,2020-07-30 08:29:15
300,319,1,13,1,1,0,1596114259,1,1,2020-07-30 08:29:15
301,320,7,12,2,0,0,1596112470,1,1,2020-07-30 08:29:15
302,321,8,11,0,0,0,1596108404,1,1,2020-07-30 08:29:15
303,322,1,17,0,1,0,1596115095,1,1,2020-07-30 08:29:15
304,323,3,8,1,0,0,1596099347,1,1,2020-07-30 08:29:15
305,324,15,0,0,0,0,1596112399,1,1,2020-07-30 08:29:15
306,325,2,16,0,1,0,1596111474,1,1,2020-07-30 08:29:15
307,326,0,19,0,0,0,1596099346,1,1,2020-07-30 08:29:15
308,327,4,15,0,0,0,1596031163,1,1,2020-07-30 08:29:15
309,328,0,12,0,0,0,1596099348,1,1,2020-07-30 08:29:15
310,329,18,0,0,1,0,1596114381,1,1,2020-07-30 08:29:15
311,330,15,4,0,0,0,1596115397,1,1,2020-07-30 08:29:15
312,331,9,6,0,0,0,1596104835,1,1,2020-07-30 08:29:15
313,332,6,9,0,0,0,1596099348,1,1,2020-07-30 08:29:15
314,333,0,15,0,0,0,1596099347,1,1,2020-07-30 08:29:15
