,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,closest,approx_distance_miles,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
17,The Saint John Paul II National Shrine,3900 HAREWOOD ROAD NE,-77.00466482,38.93775908,288031,POINT(-77.00466482 38.93775908),30,John McCormack Dr & Michigan Ave NE,42.0,11,38.9346,-76.9955,active,POINT(-76.9955 38.9346),True,0.5388663292291926,John McCormack Dr & Michigan Ave NE,8,1,0,11,38.9346,-76.9955,2020-08-17 09:03:05,True,False
18,American Poetry Museum,716 MONROE STREET NE,-76.99500622,38.93283333,309744,POINT(-76.99500622 38.93283333),73,12th & Newton St NE,42.0,11,38.933668,-76.991016,active,POINT(-76.991016 38.933668),True,0.22212575500555434,12th & Newton St NE,6,5,0,11,38.933668,-76.991016,2020-08-17 09:03:05,True,True
19,American Poetry Museum,716 MONROE STREET NE,-76.99500622,38.93283333,309744,POINT(-76.99500622 38.93283333),237,12th & Irving St NE,42.0,15,38.928644,-76.990955,active,POINT(-76.990955 38.928644),True,0.3622894531235516,12th & Irving St NE,1,12,2,15,38.928644,-76.990955,2020-08-17 09:03:05,False,True
20,American Poetry Museum,716 MONROE STREET NE,-76.99500622,38.93283333,309744,POINT(-76.99500622 38.93283333),254,Hamlin & 7th St NE,42.0,15,38.927496999999995,-76.997194,active,POINT(-76.997194 38.927497),True,0.38708544740450335,Hamlin & 7th St NE,1,12,2,15,38.927497,-76.997194,2020-08-17 09:03:05,False,True
21,American Red Cross Museum,430 17TH STREET NW,-77.04020477,38.89481909,300987,POINT(-77.04020477 38.89481909),393,18th & C St NW,42.0,19,38.893511,-77.04154399999999,active,POINT(-77.041544 38.893511),True,0.1155896625637168,18th & C St NW,7,11,0,18,38.893511,-77.04154399999999,2020-08-17 09:03:05,True,True
22,Corcoran Gallery of Art,500 17TH STREET NW,-77.03974044,38.89584701,279802,POINT(-77.03974044 38.89584701),393,18th & C St NW,42.0,19,38.893511,-77.04154399999999,active,POINT(-77.041544 38.893511),True,0.18834178054916875,18th & C St NW,7,11,0,18,38.893511,-77.04154399999999,2020-08-17 09:03:05,True,True
23,Daughters of the American Revolution Museum,1776 D STREET NW,-77.03999645,38.89395841,279384,POINT(-77.03999645 38.89395841),393,18th & C St NW,42.0,19,38.893511,-77.04154399999999,active,POINT(-77.041544 38.893511),True,0.08879635763255696,18th & C St NW,7,11,0,18,38.893511,-77.04154399999999,2020-08-17 09:03:05,True,True
24,Interior Museum,1849 C STREET NW,-77.04260027,38.89444538,293214,POINT(-77.04260027 38.89444538),393,18th & C St NW,42.0,19,38.893511,-77.04154399999999,active,POINT(-77.041544 38.893511),True,0.08600909504385001,18th & C St NW,7,11,0,18,38.893511,-77.04154399999999,2020-08-17 09:03:05,True,True
25,American Red Cross Museum,430 17TH STREET NW,-77.04020477,38.89481909,300987,POINT(-77.04020477 38.89481909),41,19th & E Street NW,42.0,11,38.8952,-77.0436,active,POINT(-77.0436 38.8952),True,0.18450595929740196,19th & E Street NW,7,4,0,11,38.8952,-77.0436,2020-08-17 09:03:05,True,True
26,Corcoran Gallery of Art,500 17TH STREET NW,-77.03974044,38.89584701,279802,POINT(-77.03974044 38.89584701),41,19th & E Street NW,42.0,11,38.8952,-77.0436,active,POINT(-77.0436 38.8952),True,0.2123526537234217,19th & E Street NW,7,4,0,11,38.8952,-77.0436,2020-08-17 09:03:05,True,True
