MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,mus_point,region_id,capacity,lat,lon,num_bikes_available,status,stat_point,Station_Name,closest,approx_distance_miles
Naval Heritage Center,701 PENNSYLVANIA AVENUE NW,38.89443849,-77.02238001,279889,POINT(-77.02238001 38.89443849),42,15,38.894851,-77.02324,7,active,POINT(-77.02324 38.894851),8th & D St NW,true,0.054335468595563076
Newseum,555 PENNSYLVANIA AVENUE NW,38.8931248,-77.01935005,297641,POINT(-77.01935005 38.8931248),42,19,38.894573,-77.01994,5,active,POINT(-77.01994 38.894573),6th St & Indiana Ave NW,true,0.10499251576091514
O Street Museum,2020 O STREET NW,38.90838357,-77.04592519,243057,POINT(-77.04592519 38.90838357),42,45,38.9101,-77.0444,39,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,true,0.1442137688469386
O Street Museum,2020 O STREET NW,38.90838357,-77.04592519,243057,POINT(-77.04592519 38.90838357),42,19,38.909394,-77.048728,15,active,POINT(-77.048728 38.909394),22nd & P ST NW,true,0.16611442155544273
O Street Museum,2020 O STREET NW,38.90838357,-77.04592519,243057,POINT(-77.04592519 38.90838357),42,19,38.908905,-77.04478,5,active,POINT(-77.04478 38.908905),20th & O St NW / Dupont South,true,0.07135226966914283
Octagon House,1799 NEW YORK AVENUE NW,38.8963463,-77.04141591,218490,POINT(-77.04141591 38.8963463),42,11,38.8952,-77.0436,8,active,POINT(-77.0436 38.8952),19th & E Street NW,true,0.14168881185997007
Octagon House,1799 NEW YORK AVENUE NW,38.8963463,-77.04141591,218490,POINT(-77.04141591 38.8963463),42,31,38.89829964921176,-77.03973233699799,22,active,POINT(-77.039732336998 38.8982996492118),17th & G St NW,true,0.1625498282805801
Octagon House,1799 NEW YORK AVENUE NW,38.8963463,-77.04141591,218490,POINT(-77.04141591 38.8963463),42,23,38.898412,-77.043182,9,active,POINT(-77.043182 38.898412),19th & G St NW,true,0.17147139240521878
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,POINT(-77.02619882 38.89676807),42,15,38.897857,-77.026975,6,active,POINT(-77.026975 38.897857),11th & F St NW,true,0.0860579124553147
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,POINT(-77.02619882 38.89676807),42,39,38.898364,-77.027869,9,active,POINT(-77.027869 38.898364),Metro Center / 12th & G St NW,true,0.1422455098887376
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,POINT(-77.02619882 38.89676807),42,23,38.89824328774852,-77.02623546123505,5,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,true,0.101968695992917
Petersen House,516 10TH STREET NW,38.89676807,-77.02619882,239374,POINT(-77.02619882 38.89676807),42,15,38.895914,-77.026064,14,active,POINT(-77.026064 38.895914),10th & E St NW,true,0.05946701698369919
Powhatan Museum,1519 MONROE STREET NW,38.93243069,-77.0355043,234557,POINT(-77.0355043 38.93243069),42,19,38.931991,-77.032956,8,active,POINT(-77.032956 38.931991),14th & Newton St NW,true,0.14032248596445335
Powhatan Museum,1519 MONROE STREET NW,38.93243069,-77.0355043,234557,POINT(-77.0355043 38.93243069),42,19,38.9319,-77.0388,12,active,POINT(-77.0388 38.9319),Lamont & Mt Pleasant NW,true,0.18092835818007694
Renwick Gallery,1661 PENNSYLVANIA AVENUE NW,38.89913087,-77.03908805,294185,POINT(-77.03908805 38.89913087),42,27,38.89968,-77.041539,14,active,POINT(-77.041539 38.89968),18th St & Pennsylvania Ave NW,true,0.1371743571874811
Renwick Gallery,1661 PENNSYLVANIA AVENUE NW,38.89913087,-77.03908805,294185,POINT(-77.03908805 38.89913087),42,31,38.89829964921176,-77.03973233699799,22,active,POINT(-77.039732336998 38.8982996492118),17th & G St NW,true,0.06708662833222094
S. Dillon Ripley Center,1100 JEFFERSON DRIVE SW,38.88855849,-77.02687494,308882,POINT(-77.02687494 38.88855849),42,15,38.887312,-77.025762,10,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,true,0.10490313941874557
S. Dillon Ripley Center,1100 JEFFERSON DRIVE SW,38.88855849,-77.02687494,308882,POINT(-77.02687494 38.88855849),42,39,38.88627694506511,-77.02824175357819,23,active,POINT(-77.0282417535782 38.8862769450651),USDA / 12th & C St SW,true,0.17397342647851619
S. Dillon Ripley Center,1100 JEFFERSON DRIVE SW,38.88855849,-77.02687494,308882,POINT(-77.02687494 38.88855849),42,35,38.888767,-77.02858,29,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,true,0.0928429137456409
Smithsonian American Art Museum,,38.898181,-77.022972,294248,POINT(-77.022972 38.898181),42,33,38.8997,-77.023086,21,active,POINT(-77.023086 38.8997),8th & H St NW,true,0.10515426888424323
Smithsonian American Art Museum,,38.898181,-77.022972,294248,POINT(-77.022972 38.898181),42,27,38.89728304853854,-77.02219069004059,19,active,POINT(-77.0221906900406 38.8972830485385),7th & F St NW / National Portrait Gallery,true,0.0749454241260442
Smithsonian American Art Museum,,38.898181,-77.022972,294248,POINT(-77.022972 38.898181),42,23,38.89824328774852,-77.02623546123505,5,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,true,0.1755758872827351
Smithsonian Castle,1000 JEFFERSON DRIVE SW,38.88880868,-77.02598796,293187,POINT(-77.02598796 38.88880868),42,15,38.887312,-77.025762,10,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,true,0.1041446033660486
Smithsonian Castle,1000 JEFFERSON DRIVE SW,38.88880868,-77.02598796,293187,POINT(-77.02598796 38.88880868),42,35,38.888767,-77.02858,29,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,true,0.13945941261097206
Spagnuolo Art Gallery,1221 36TH STREET NW,38.9063108,-77.07011468,300017,POINT(-77.07011468 38.9063108),42,23,38.90774,-77.071652,6,active,POINT(-77.071652 38.90774),37th & O St NW / Georgetown University,true,0.12880336863516323
"The History of Cannabis  ",3626 GEORGIA AVENUE NW,38.934824,-77.02433,232148,POINT(-77.02433 38.934824),42,19,38.9366839345886,-77.02418088912964,9,active,POINT(-77.0241808891296 38.9366839345886),Georgia & New Hampshire Ave NW,true,0.12878642476038837
The National Bonsai and Penjing Museum,3501 NEW YORK AVENUE NE,38.9124031,-76.96989039,293238,POINT(-76.96989039 38.9124031),42,19,38.91263,-76.971923,13,active,POINT(-76.971923 38.91263),24th & R St NE / National Arboretum,true,0.11041963662745284
The Phillips Collection,1600 21ST STREET NW,38.91150234,-77.04685225,243333,POINT(-77.04685225 38.91150234),42,19,38.912644,-77.04564,16,active,POINT(-77.04564 38.912644),Connecticut Ave & R St NW,true,0.10234400338545974
The Phillips Collection,1600 21ST STREET NW,38.91150234,-77.04685225,243333,POINT(-77.04685225 38.91150234),42,45,38.9101,-77.0444,39,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,true,0.16365106550396508
The Phillips Collection,1600 21ST STREET NW,38.91150234,-77.04685225,243333,POINT(-77.04685225 38.91150234),42,19,38.909394,-77.048728,15,active,POINT(-77.048728 38.909394),22nd & P ST NW,true,0.17721176451725162
The Textile Museum,701 21ST STREET NW,38.89879551,-77.04641484,311648,POINT(-77.04641484 38.89879551),42,17,38.89892546716842,-77.04885238395946,2,active,POINT(-77.0488523839595 38.8989254671684),22nd & H St NW,true,0.13140776578803165
The Textile Museum,701 21ST STREET NW,38.89879551,-77.04641484,311648,POINT(-77.04641484 38.89879551),42,35,38.90071062547463,-77.04644858837128,6,active,POINT(-77.0464485883713 38.9007106254746),21st & I St NW,true,0.1323626378441567
The Textile Museum,701 21ST STREET NW,38.89879551,-77.04641484,311648,POINT(-77.04641484 38.89879551),42,23,38.898412,-77.043182,9,active,POINT(-77.043182 38.898412),19th & G St NW,true,0.1758835807659792
The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,38.90585437,-77.03735337,301103,POINT(-77.03735337 38.90585437),42,23,38.905995699991145,-77.03980207443237,9,active,POINT(-77.0398020744324 38.9059956999911),Rhode Island & Connecticut Ave NW,true,0.13204935493388828
The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,38.90585437,-77.03735337,301103,POINT(-77.03735337 38.90585437),42,19,38.908142,-77.038359,16,active,POINT(-77.038359 38.908142),17th St & Massachusetts Ave NW,true,0.1670880276910648
The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,38.90585437,-77.03735337,301103,POINT(-77.03735337 38.90585437),42,19,38.905424,-77.034674,13,active,POINT(-77.034674 38.905424),15th & M St NW,true,0.1471305779852135
U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,38.90835625,-77.03415685,240224,POINT(-77.03415685 38.90835625),42,23,38.9086,-77.0323,1,active,POINT(-77.0323 38.9086),14th & Rhode Island Ave NW,true,0.10126589770159886
U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,38.90835625,-77.03415685,240224,POINT(-77.03415685 38.90835625),42,19,38.90985,-77.034438,16,active,POINT(-77.034438 38.90985),15th & P St NW,true,0.10433168317970244
United States Botanic Garden,100 MARYLAND AVENUE SW,38.8882481,-77.01290115,297683,POINT(-77.01290115 38.8882481),42,31,38.886978,-77.013769,28,active,POINT(-77.013769 38.886978),Washington & Independence Ave SW/HHS,true,0.09941680719621285
United States Holocaust Memorial Museum,100 RAOUL WALLENBERG PLACE SW,38.88668129,-77.03268624,293186,POINT(-77.03268624 38.88668129),42,23,38.888553,-77.032429,13,active,POINT(-77.032429 38.888553),Jefferson Dr & 14th St SW,true,0.1300885626620207
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,POINT(-77.04266708 38.91093038),42,19,38.911268,-77.041829,8,active,POINT(-77.041829 38.911268),18th & New Hampshire Ave NW,true,0.050749061505560925
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,POINT(-77.04266708 38.91093038),42,45,38.9101,-77.0444,39,active,POINT(-77.0444 38.9101),Massachusetts Ave & Dupont Circle NW,true,0.10944007063078379
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,POINT(-77.04266708 38.91093038),42,19,38.912648,-77.041834,9,active,POINT(-77.041834 38.912648),18th & R St NW,true,0.1268737440436907
Whittemore House,1526 NEW HAMPSHIRE AVENUE NW,38.91093038,-77.04266708,225724,POINT(-77.04266708 38.91093038),42,19,38.908905,-77.04478,5,active,POINT(-77.04478 38.908905),20th & O St NW / Dupont South,true,0.1802829844826225
