MUSEUM,MATCHADDRESS,LATITUDE,LONGITUDE,ID,mus_point,region_id,capacity,lat,lon,num_bikes_available,status,stat_point,Station_Name,closest,approx_distance_miles
Charles Sumner School,1201 17TH STREET NW,38.90596805,-77.03823126,301200,POINT(-77.03823126 38.90596805),42,23,38.905995699991145,-77.03980207443237,9,active,POINT(-77.0398020744324 38.9059956999911),Rhode Island & Connecticut Ave NW,true,0.08449758298928527
Charles Sumner School,1201 17TH STREET NW,38.90596805,-77.03823126,301200,POINT(-77.03823126 38.90596805),42,19,38.908142,-77.038359,16,active,POINT(-77.038359 38.908142),17th St & Massachusetts Ave NW,true,0.15039475305981356
Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,38.8958605,-77.02169365,279777,POINT(-77.02169365 38.8958605),42,19,38.894573,-77.01994,5,active,POINT(-77.01994 38.894573),6th St & Indiana Ave NW,true,0.12966757681257854
Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,38.8958605,-77.02169365,279777,POINT(-77.02169365 38.8958605),42,31,38.897222,-77.019347,5,active,POINT(-77.019347 38.897222),5th & F St NW,true,0.15742795002707138
Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,38.8958605,-77.02169365,279777,POINT(-77.02169365 38.8958605),42,15,38.894851,-77.02324,7,active,POINT(-77.02324 38.894851),8th & D St NW,true,0.10855793866034891
Clara Barton Missing Soldiers Office Museum,437 7TH STREET NW,38.8958605,-77.02169365,279777,POINT(-77.02169365 38.8958605),42,27,38.89728304853854,-77.02219069004059,19,active,POINT(-77.0221906900406 38.8972830485385),7th & F St NW / National Portrait Gallery,true,0.10187981497385432
Corcoran Gallery of Art,500 17TH STREET NW,38.89584701,-77.03974044,279802,POINT(-77.03974044 38.89584701),42,31,38.89829964921176,-77.03973233699799,22,active,POINT(-77.039732336998 38.8982996492118),17th & G St NW,true,0.16949805272348015
D.C. Fire and EMS Museum,439 NEW JERSEY AVENUE NW,38.895835,-77.0109,237163,POINT(-77.0109 38.895835),42,33,38.897108,-77.011616,23,active,POINT(-77.011616 38.897108),New Jersey Ave & F St NW,true,0.09603445596726154
D.C. Fire and EMS Museum,439 NEW JERSEY AVENUE NW,38.895835,-77.0109,237163,POINT(-77.0109 38.895835),42,23,38.897446,-77.009888,15,active,POINT(-77.009888 38.897446),North Capitol St & F St NW,true,0.123926739438285
Daughters of the American Revolution Museum,1776 D STREET NW,38.89395841,-77.03999645,279384,POINT(-77.03999645 38.89395841),42,19,38.893511,-77.041544,11,active,POINT(-77.041544 38.893511),18th & C St NW,true,0.08879635763255696
Decatur House Museum,748 JACKSON PLACE NW,38.90002633,-77.03819661,293257,POINT(-77.03819661 38.90002633),42,27,38.89968,-77.041539,14,active,POINT(-77.041539 38.89968),18th St & Pennsylvania Ave NW,true,0.18135042225634054
Decatur House Museum,748 JACKSON PLACE NW,38.90002633,-77.03819661,293257,POINT(-77.03819661 38.90002633),42,31,38.89829964921176,-77.03973233699799,22,active,POINT(-77.039732336998 38.8982996492118),17th & G St NW,true,0.14512540634771554
Decatur House Museum,748 JACKSON PLACE NW,38.90002633,-77.03819661,293257,POINT(-77.03819661 38.90002633),42,35,38.902061,-77.038322,23,active,POINT(-77.038322 38.902061),17th & K St NW / Farragut Square,true,0.14077401235765943
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,POINT(-77.02579655 38.89658294),42,15,38.897857,-77.026975,6,active,POINT(-77.026975 38.897857),11th & F St NW,true,0.10848898640675624
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,POINT(-77.02579655 38.89658294),42,15,38.894851,-77.02324,7,active,POINT(-77.02324 38.894851),8th & D St NW,true,0.18230256549527227
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,POINT(-77.02579655 38.89658294),42,39,38.898364,-77.027869,9,active,POINT(-77.027869 38.898364),Metro Center / 12th & G St NW,true,0.16605695707506546
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,POINT(-77.02579655 38.89658294),42,23,38.89824328774852,-77.02623546123505,5,active,POINT(-77.026235461235 38.8982432877485),10th & G St NW,true,0.11714686279003017
Ford's Theatre,511 10TH STREET NW,38.89658294,-77.02579655,239829,POINT(-77.02579655 38.89658294),42,15,38.895914,-77.026064,14,active,POINT(-77.026064 38.895914),10th & E St NW,true,0.04841561363159564
Freer Gallery of Art,,38.888268,-77.027348,294417,POINT(-77.027348 38.888268),42,15,38.887312,-77.025762,10,active,POINT(-77.025762 38.887312),Independence Ave & L'Enfant Plaza SW/DOE,true,0.10790490280230403
Freer Gallery of Art,,38.888268,-77.027348,294417,POINT(-77.027348 38.888268),42,39,38.88627694506511,-77.02824175357819,23,active,POINT(-77.0282417535782 38.8862769450651),USDA / 12th & C St SW,true,0.14575563496574667
Freer Gallery of Art,,38.888268,-77.027348,294417,POINT(-77.027348 38.888268),42,35,38.888767,-77.02858,29,active,POINT(-77.02858 38.888767),Smithsonian-National Mall / Jefferson Dr & 12th St SW,true,0.07470680741687642
Gallaudet University Museum,800 FLORIDA AVENUE NE,38.90577601,-76.99492972,288964,POINT(-76.99492972 38.90577601),42,19,38.90509,-76.9941,18,active,POINT(-76.9941 38.90509),Gallaudet / 8th St & Florida Ave NE,true,0.06510511070148443
