,station_id,num_bikes_available,num_docks_available,num_ebikes_available,num_bikes_disabled,num_docks_disabled,last_reported,is_renting,is_returning,last_updated_date
423,450,2,8,0,0,1,1594975704,1,1,2020-07-17 08:41:35
424,451,5,9,0,1,0,1594990608,1,1,2020-07-17 08:41:35
425,452,3,12,0,0,0,1594974196,1,1,2020-07-17 08:41:35
426,453,6,13,0,0,0,1594993139,1,1,2020-07-17 08:41:35
427,454,8,10,0,1,0,1594992270,1,1,2020-07-17 08:41:35
428,455,13,2,0,0,0,1594983608,1,1,2020-07-17 08:41:35
429,456,4,11,0,0,0,1594974196,1,1,2020-07-17 08:41:35
430,457,7,4,0,0,0,1594985330,1,1,2020-07-17 08:41:35
431,458,10,9,0,0,0,1594988616,1,1,2020-07-17 08:41:35
432,459,2,12,0,0,0,1594975705,1,1,2020-07-17 08:41:35
433,460,9,5,0,0,0,1594989785,1,1,2020-07-17 08:41:35
434,461,3,12,0,0,0,1594975705,1,1,2020-07-17 08:41:35
435,462,0,11,0,0,0,1594975705,1,1,2020-07-17 08:41:35
436,463,3,12,0,0,0,1594991210,1,1,2020-07-17 08:41:35
437,464,3,12,0,0,0,1594975705,1,1,2020-07-17 08:41:35
438,465,0,15,0,0,0,1594975706,1,1,2020-07-17 08:41:35
439,466,2,13,0,0,0,1594975705,1,1,2020-07-17 08:41:35
440,467,5,6,0,0,0,1594975706,1,1,2020-07-17 08:41:35
441,468,5,6,0,0,0,1594975706,1,1,2020-07-17 08:41:35
442,469,1,18,0,0,0,1594991858,1,1,2020-07-17 08:41:35
443,470,18,1,0,0,0,1594982241,1,1,2020-07-17 08:41:35
444,471,15,4,0,0,0,1594982931,1,1,2020-07-17 08:41:35
445,472,9,10,0,0,0,1594982281,1,1,2020-07-17 08:41:35
446,473,11,7,0,1,0,1594993027,1,1,2020-07-17 08:41:35
447,474,3,20,1,0,0,1594992903,1,1,2020-07-17 08:41:35
448,475,1,14,1,0,0,1594975703,1,1,2020-07-17 08:41:35
