,X,Y,OBJECTID,NAME,ALT_NAME,LABEL,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LONGITUDE,MAR_LATITUDE,MARID
42,-77.004667103511,38.9377665436672,43,THE SAINT JOHN PAUL II NATIONAL SHRINE,,The Saint John Paul II National Shrine,3900 HAREWOOD ROAD NE,399595.57,141096.85,-77.00466482,38.93775908,288031
43,-76.9950085085725,38.932840791103395,44,AMERICAN POETRY MUSEUM,,American Poetry Museum,716 MONROE STREET NE,400432.98,140550.05,-76.99500622,38.93283333,309744
44,-76.96989266812069,38.9124105566907,45,THE NATIONAL BONSAI AND PENJING MUSEUM,,The National Bonsai and Penjing Museum,3501 NEW YORK AVENUE NE,402611.37,138282.54,-76.96989039,38.9124031,293238
45,-76.995306316944,38.873042891617395,46,NATIONAL MUSEUM OF UNITED STATES NAVY,,National Museum of United States Navy,736 SICARD STREET SE,400407.5,133912.0,-76.99530404,38.87303544,311896
46,-77.03108432435,38.898048914266795,47,ARMENIAN GENOCIDE MUSEUM AND MEMORIAL,,Armenian Genocide Museum and Memorial,1334 G STREET NW,397303.75,136688.31,-77.03108204,38.89804146,240658
47,-77.0355066026174,38.9324381472625,48,POWHATAN MUSEUM,,Powhatan Museum,1519 MONROE STREET NW,396921.62,140505.94,-77.0355043,38.93243069,234557
48,-77.08685306296229,38.939099665114796,49,AMERICAN UNIVERSITY MUSEUM AT THE KATZEN ARTS CENTER,AMERICAN UNIVERSITY MUSEUM,American University Museum at the Katzen Arts Center, 3500 NEBRASKA AVENUE NW,392470.36,141248.41,-77.086851,38.939091999999995,223996
50,-77.0517060293147,38.9138615340225,51,WOODROW WILSON HOUSE,,Woodrow Wilson House,2340 S STREET NW,395515.89,138444.45,-77.05170373,38.91385408,218994
52,-77.00375844974609,38.8921946678767,53,SEWALL-BELMONT,SEWALL-BELMONT HOUSE AND MUSEUM,Sewall-Belmont,144 CONSTITUTION AVENUE NE,399674.14,136037.99,-77.00375617,38.89218722,286201
54,-77.03909034859879,38.899138323140996,55,RENWICK GALLERY,,Renwick Gallery,1661 PENNSYLVANIA AVENUE NW,396609.31,136809.51,-77.03908805,38.89913087,294185
55,-77.01663185498471,38.8882828278549,56,NATIONAL MUSEUM OF THE AMERICAN INDIAN,,National Museum of the American Indian,NATIONAL MUSEUM OF THE AMERICAN INDIAN,398557.25,135603.87,-77.01662957,38.88827538,294429
56,-77.00819123936459,38.89814635994001,57,NATIONAL POSTAL MUSEUM,,National Postal Museum,2 MASSACHUSETTS AVENUE NE,399289.64,136698.7,-77.00818895,38.89813891,293217
58,-77.02550918302249,38.8879621494984,59,NATIONAL MUSEUM OF AFRICAN ART,,National Museum of African Art,950 INDEPENDENCE AVENUE SW,397787.06,135568.45,-77.02550689,38.8879547,293262
59,-77.0259566662584,38.8912240744093,60,NATIONAL MUSEUM OF NATURAL HISTORY,,National Museum of Natural History,NATIONAL MUSEUM OF NATURAL HISTORY,397748.34,135930.56,-77.02595438,38.89121662,293188
60,-77.00956144228859,38.8981258068195,61,NATIONAL GUARD MEMORIAL MUSEUM,,National Guard Memorial Museum,1 MASSACHUSETTS AVENUE NW,399170.78,136696.43,-77.00955916,38.89811835,238009
61,-77.0381846958374,38.9202267085704,62,MERIDIAN INTERNATIONAL CENTER,MERIDIAN HOUSE INTERNATIONAL,Meridian International Center,1630 CRESCENT PLACE NW,396688.85,139150.46,-77.0381824,38.92021925,235803
62,-77.0209836697892,38.9245365018092,63,HOWARD UNIVERSITY GALLERY OF ART,,Howard University Gallery of Art,2455 6TH STREET NW,398180.62,139628.4,-77.02098138,38.92452904,188381
63,-77.0196991929266,38.9223602247499,64,HOWARD UNIVERSITY MUSEUM,,Howard University Museum,500 HOWARD PLACE NW,398291.95,139386.79,-77.0196969,38.92235277,243398
68,-77.0402070619852,38.894826540139206,69,AMERICAN RED CROSS MUSEUM,,American Red Cross Museum,430 17TH STREET NW,396512.23,136330.91,-77.04020477,38.89481909,300987
69,-76.9767846776304,38.856582663691604,70,ANACOSTIA COMMUNITY MUSEUM,,Anacostia Community Museum,1901 FORT PLACE SE,402015.21,132085.04,-76.9767824,38.85657522,286524
71,-77.0193523404382,38.893132247800295,72,NEWSEUM,,Newseum,555 PENNSYLVANIA AVENUE NW,398321.34,136142.24,-77.01935005,38.893124799999995,297641
73,-77.0326885316311,38.8866887377353,74,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,,United States Holocaust Memorial Museum,100 RAOUL WALLENBERG PLACE SW,397164.14,135427.29,-77.03268624,38.88668129,293186
74,-77.03582888223609,38.9137000164097,75,HOUSE OF THE TEMPLE,,House of the Temple,1733 16TH STREET NW,396892.86,138425.86,-77.03582659,38.91369256,242883
75,-77.03603665344191,38.925552300777,76,MEXICAN CULTURAL INSTITUTE,,Mexican Cultural Institute,2829 16TH STREET NW,396875.36,139741.57,-77.03603436,38.92554484,235878
77,-77.0399987410908,38.8939658618915,78,DAUGHTERS OF THE AMERICAN REVOLUTION MUSEUM,,Daughters of the American Revolution Museum,1776 D STREET NW,396530.26,136235.36,-77.03999645,38.89395841,279384
78,-77.04260257010691,38.8944528345871,79,INTERIOR MUSEUM,DEPARTMENT OF THE INTERIOR MUSEUM,Interior Museum,1849 C STREET NW,396304.4,136289.52,-77.04260027,38.89444538,293214
79,-76.98517944195609,38.8633894439612,80,FREDERICK DOUGLASS NATIONAL HISTORIC SITE,,Frederick Douglass National Historic Site,1411 W STREET SE,401286.45,132840.49,-76.98517717,38.863382,293207
80,-77.0308656475862,38.908175805465,81,MARY BETHUNE COUNCIL HOUSE,BETHUNE MEMORIAL MUSEUM,Mary Bethune Council House,1318 VERMONT AVENUE NW,397323.1,137812.47,-77.03086335,38.90816835,225385
81,-77.0257988458166,38.8965903956396,82,FORD'S THEATRE,,Ford's Theatre,511 10TH STREET NW,397762.2,136526.26,-77.02579655,38.89658294,239829
82,-77.02620111333559,38.896775518105706,83,PETERSEN HOUSE,,Petersen House,516 10TH STREET NW,397727.31,136546.82,-77.02619882,38.89676807,239374
83,-76.99493200314241,38.905783462255705,84,GALLAUDET UNIVERSITY MUSEUM,CHAPEL HALL,Gallaudet University Museum,800 FLORIDA AVENUE NE,400439.78,137546.46,-76.99492972,38.90577601,288964
