,museum,address,longitude,latitude,ID,mus_point,station_id,name,region_id,capacity_x,lat,lon,station_status___1_,stat_point,Station_Name_x,closest,approx_distance_miles,Station_Name_y,num_bikes_available,num_docks_available,num_ebikes_available,capacity_y,station_lat,station_lon,last_updated_date,avlb_bikes,avlb_docks
18,Interior Museum,1849 C STREET NW,-77.04260027,38.89444538,293214,POINT(-77.04260027 38.89444538),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.8952023986937091,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
19,Museum of the Bible,400 4TH STREET SW,-77.017138,38.884831,311513,POINT(-77.017138 38.884831),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.9039744180668876,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
20,The Wilderness Society - Ansel Adams Collection,1615 M STREET NW,-77.03735337,38.90585437,301103,POINT(-77.03735337 38.90585437),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.9168255781026484,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
21,Charles Sumner School,1201 17TH STREET NW,-77.03823126,38.90596805,301200,POINT(-77.03823126 38.90596805),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.9544569827070104,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
22,U.S. Daughters of 1812 Library and Museum,1463 RHODE ISLAND AVENUE NW,-77.03415685,38.90835625,240224,POINT(-77.03415685 38.90835625),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,0.9637425595179581,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
23,U.S. Capitol Visitor Center,,-77.009036,38.88979448,294394,POINT(-77.009036 38.88979448),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.0088315412489473,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
24,The Textile Museum,701 21ST STREET NW,-77.04641484,38.89879551,311648,POINT(-77.04641484 38.89879551),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.11253675435786,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
25,Sewall-Belmont,144 CONSTITUTION AVENUE NE,-77.00375617,38.89218722,286201,POINT(-77.00375617 38.89218722),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.227212265000713,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
26,Heurich House Museum,1307 NEW HAMPSHIRE AVENUE NW,-77.04460391,38.90802275,241060,POINT(-77.04460391 38.90802275),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.3017197007916856,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
27,House of the Temple,1733 16TH STREET NW,-77.03582659,38.91369256,242883,POINT(-77.03582659 38.91369256),199,10th & E St NW,42.0,15,38.895914000000005,-77.026064,active,POINT(-77.026064 38.895914),10th & E St NW,True,1.3361208690709243,10th & E St NW,10,5,0,15,38.89591400000001,-77.026064,2020-08-18 12:55:50,True,True
