station_id,Station_Name,num_bikes_available,num_docks_available,num_ebikes_available,capacity,station_lat,station_lon,last_updated_date
67,Pennsylvania & Minnesota Ave SE,8,3,1,11,38.873057,-76.97101500000001,2020-07-22 03:48:40
68,Eastern Market / 7th & North Carolina Ave SE,14,1,0,15,38.886952,-76.996806,2020-07-22 03:48:40
69,14th St & New York Ave NW,16,7,0,23,38.899632000000004,-77.031686,2020-07-22 03:48:40
70,Benning Branch Library,8,3,0,11,38.894,-76.947974,2020-07-22 03:48:40
71,USDA / 12th & C St SW,31,8,0,39,38.886276945065106,-77.02824175357819,2020-07-22 03:48:40
72,Georgetown Harbor / 30th St NW,10,9,0,19,38.90222120000001,-77.059219,2020-07-22 03:48:40
73,12th & Newton St NE,9,2,0,11,38.933668,-76.991016,2020-07-22 03:48:40
74,US Dept of State / Virginia Ave & 21st St NW,7,8,0,15,38.894919,-77.046587,2020-07-22 03:48:40
75,L'Enfant Plaza / 7th & C St SW,7,8,0,15,38.886266,-77.02224100000001,2020-07-22 03:48:40
76,10th St & Constitution Ave NW,20,11,0,31,38.893028,-77.026013,2020-07-22 03:48:40
77,Kennedy Center,3,16,0,19,38.897293,-77.05556999999999,2020-07-22 03:48:40
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,0,19,0,19,38.884,-76.995397,2020-07-22 03:48:40
79,18th & M St NW,12,15,0,27,38.905066874553135,-77.04177886247633,2020-07-22 03:48:40
80,Tenleytown / Wisconsin Ave & Albemarle St NW,4,11,0,15,38.947607,-77.079382,2020-07-22 03:48:40
81,13th & H St NE,16,9,0,27,38.90042673988099,-76.98825001716614,2020-07-22 03:48:40
82,5th & F St NW,19,12,0,31,38.897222,-77.019347,2020-07-22 03:48:40
84,Convention Center / 7th & M St NW,9,14,0,23,38.905737,-77.02226999999999,2020-07-22 03:48:40
85,Harvard St & Adams Mill Rd NW,10,3,0,15,38.927872,-77.043358,2020-07-22 03:48:40
86,18th & L St NW,5,14,0,19,38.90374145091938,-77.0424520969391,2020-07-22 03:48:40
87,C & O Canal & Wisconsin Ave NW,9,14,0,23,38.90375,-77.06269,2020-07-22 03:48:40
88,Maine Ave & 7th St SW,9,10,0,19,38.87869359939696,-77.02305436134337,2020-07-22 03:48:40
89,D St & Maryland Ave NE,12,11,0,23,38.894758,-76.997114,2020-07-22 03:48:40
